@relation 'FiroModalityInstances: -C 0-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Label {Obligation,Prohibition,Other}
@attribute text string
@attribute posTagSeq string

@data
Prohibition,'§ 1010.314 Structured transactions . No person shall for the purpose of evading the transactions in currency reporting requirements of this chapter with respect to such transaction : -LRB- a -RRB- Cause or attempt to cause domestic financial institution to fail to file report required under the transactions in currency reporting requirements of this chapter ; -LRB- b -RRB- Cause or attempt to cause domestic financial institution to file a report required under the transactions in currency reporting requirements of this chapter that contains material omission or misstatement of fact ; or -LRB- c -RRB- Structure -LRB- as that term is defined in § 1010.100 -LRB- xx -RRB- -RRB- or assist in structuring , or attempt to structure or assist in structuring , any transaction with one or more domestic financial institutions','DT CD JJ NNS . DT NN MD IN DT NN IN VBG DT NNS IN NN NN NNS IN DT NN IN NN TO JJ NN : -LRB- DT -RRB- NN CC NN TO VB JJ JJ NN TO VB TO VB NN VBN IN DT NNS IN NN NN NNS IN DT NN : -LRB- NN -RRB- NN CC NN TO VB JJ JJ NN TO VB DT NN VBN IN DT NNS IN NN NN NNS IN DT NN IN VBZ JJ NN CC NN IN NN : CC -LRB- NN -RRB- NN -LRB- IN DT NN VBZ VBN IN NNP CD -LRB- NN -RRB- -RRB- CC VB IN VBG , CC NN TO VB CC VB IN NN , DT NN IN CD CC JJR JJ JJ NNS'
Prohibition,'-LRB- 2 -RRB- The Secretary shall not issue regulation under paragraph -LRB- a -RRB- of this section for the purpose of obtaining individually identifiable account information concerning customer , as defined by the Right to Financial Privacy Act -LRB- 12 U.S.C. 3401 et seq. -RRB- , where that customer is already the subject of an ongoing investigation for possible violation of the Currency and Foreign Transactions Reporting Act , or is known by the Secretary to be the subject of an investigation for possible violation of any other Federal law .','-LRB- CD -RRB- DT NNP MD RB VB NN IN NN -LRB- DT -RRB- IN DT NN IN DT NN IN VBG RB JJ NN NN VBG NN , RB VBN IN DT NNP TO NNP NNP NNP -LRB- CD NNP CD NN NN -RRB- , WRB DT NN VBZ RB DT NN IN DT JJ NN IN JJ NN IN DT NNP CC NNP NNP NNP NNP , CC VBZ VBN IN DT NNP TO VB DT NN IN DT NN IN JJ NN IN DT JJ JJ NN .'
Prohibition,'-LRB- d -RRB- -LRB- 1 -RRB- No order issued pursuant to paragraph -LRB- a -RRB- of this section shall prescribe reporting period of more than 60 days unless renewed pursuant to the requirements of paragraph -LRB- a -RRB- .','-LRB- NNP -RRB- -LRB- CD -RRB- DT NN VBD JJ TO VB -LRB- DT -RRB- IN DT NN MD VB VBG NN IN JJR IN CD NNS IN VBN NN TO DT NNS IN NN -LRB- DT -RRB- .'
Prohibition,'-LRB- 2 -RRB- Any revisions to an order issued under this section will not be effective until made in writing by the Secretary .','-LRB- CD -RRB- DT NNS TO DT NN VBN IN DT NN MD RB VB JJ IN VBN IN NN IN DT NNP .'
Prohibition,'The requirements of this paragraph -LRB- f -RRB- shall not apply to transmittals of funds that are listed in paragraph -LRB- e -RRB- -LRB- 6 -RRB- of this section or § 1020.410 -LRB- a -RRB- -LRB- 6 -RRB- of this chapter .','DT NNS IN DT NN -LRB- NN -RRB- MD RB VB TO NNS IN NNS WDT VBP VBN IN NN -LRB- NNP -RRB- -LRB- CD -RRB- IN DT NN CC NN CD -LRB- DT -RRB- -LRB- CD -RRB- IN DT NN .'
Prohibition,'§ 1010.415 Purchases of bank checks and drafts , cashier’ checks , money orders and traveler’ checks . -LRB- a -RRB- No financial institution may issue or sell bank check or draft , cashier \'s check , money order or traveler’ check for $ 3 , 000 or more in currency unless it maintains records of the following information , which must be obtained for each issuance or sale of one or more of these instruments to any individual purchaser which involves currency in amounts of $ 3 , 000– $ 10 , 000 inclusive : -LRB- 1 -RRB- If the purchaser has deposit account with the financial institution : -LRB- i -RRB- -LRB- A -RRB- The name of the purchaser ; -LRB- B -RRB- The date of purchase ; -LRB- C -RRB- The type -LRB- s -RRB- of instrument -LRB- s -RRB- -LRB- D -RRB- The serial number -LRB- s -RRB- of each of the instrument -LRB- and -LRB- E -RRB- The amount in dollars of each of the instrument -LRB- s -RRB- purchased .','DT CD NNS IN NN NNS CC NNS , JJ NNS , NN NNS CC VBN NNS . -LRB- DT -RRB- DT JJ NN MD VB CC VB NN NN CC NN , NN POS NN , NN NN CC VB NN IN $ CD , CD CC JJR IN NN IN PRP VBZ NNS IN DT VBG NN , WDT MD VB VBN IN DT NN CC NN IN CD CC JJR IN DT NNS TO DT JJ NN WDT VBZ NN IN NNS IN $ CD , IN $ CD , CD NN : -LRB- CD -RRB- IN DT NN VBZ NN NN IN DT JJ NN : -LRB- NNP -RRB- -LRB- DT -RRB- DT NN IN DT NN : -LRB- NNP -RRB- DT NN IN NN : -LRB- NNP -RRB- DT NN -LRB- PRP -RRB- IN NN -LRB- PRP -RRB- -LRB- NNP -RRB- DT JJ NN -LRB- PRP -RRB- IN DT IN DT NN -LRB- CC -LRB- NNP -RRB- DT NN IN NNS IN DT IN DT NN -LRB- PRP -RRB- VBN .'
Prohibition,'-LRB- iv -RRB- Use and security of information request . -LRB- A -RRB- financial institution shall not use information provided by FinCEN pursuant to this section for any purpose other than : -LRB- 1 -RRB- Reporting to FinCEN as provided in this section ; -LRB- 2 -RRB- Determining whether to establish or maintain an account , or to engage in transaction ; or -LRB- 3 -RRB- Assisting the financial institution in complying with any requirement of this chapter .','-LRB- NNP -RRB- NNP CC NN IN NN NN . -LRB- DT -RRB- JJ NN MD RB VB NN VBN IN NNP JJ TO DT NN IN DT NN JJ IN : -LRB- CD -RRB- VBG TO NNP IN VBN IN DT NN : -LRB- CD -RRB- VBG IN TO VB CC VB DT NN , CC TO VB IN NN : CC -LRB- CD -RRB- VBG DT JJ NN IN VBG IN DT NN IN DT NN .'
Prohibition,'null However , such sharing shall not disclose the fact that FinCEN has requested information concerning such individual , entity , or organization','null RB , JJ NN MD RB VB DT NN IN NNP VBZ VBN NN VBG JJ NN , NN , CC NN'
Prohibition,'-LRB- v -RRB- No other action required . Nothing in this section shall be construed to require financial institution to take any action , or to decline to take any action , with respect to an account established for , or transaction engaged in with , an individual , entity , or organization named in request from FinCEN , or to decline to establish an account for , or to engage in transaction with , any such individual , entity , or organization . Except as otherwise provided in an information request under this section , such request shall not require financial institution to report on future account opening activity or transactions or to treat suspect list received under this section as government list for purposes of section 326 of Public Law 107–56 .','-LRB- DT -RRB- DT JJ NN VBN . NN IN DT NN MD VB VBN TO VB JJ NN TO VB DT NN , CC TO VB TO VB DT NN , IN NN TO DT NN VBN IN , CC NN VBN IN IN , DT NN , NN , CC NN VBN IN NN IN NNP , CC TO VB TO VB DT NN IN , CC TO VB IN NN IN , DT JJ NN , NN , CC NN . IN IN RB VBN IN DT NN NN IN DT NN , JJ NN MD RB VB JJ NN TO VB IN JJ NN NN NN CC NNS CC TO VB JJ NN VBN IN DT NN IN NN NN IN NNS IN NN CD IN NNP NNP NNP .'
Prohibition,'-LRB- 4 -RRB- Use and security of information . -LRB- i -RRB- Information received by financial institution or an association of financial institutions pursuant to this section shall not be used for any purpose other than : -LRB- A -RRB- Identifying and , where appropriate , reporting on money laundering or terrorist activities ; -LRB- B -RRB- Determining whether to establish or maintain an account , or to engage in transaction ; or -LRB- C -RRB- Assisting the financial institution in complying with any requirement of this chapter .','-LRB- LS -RRB- NN CC NN IN NN . -LRB- NNP -RRB- NN VBN IN JJ NN CC DT NN IN JJ NNS JJ TO DT NN MD RB VB VBN IN DT NN JJ IN : -LRB- DT -RRB- VBG CC , WRB JJ , VBG IN NN NN CC JJ NNS : -LRB- NNP -RRB- VBG IN TO VB CC VB DT NN , CC TO VB IN NN : CC -LRB- NNP -RRB- VBG DT JJ NN IN VBG IN DT NN IN DT NN .'
